date,symbol,open,high,low,close
2020-05-08,BTC,9371.6799704477,9958.7339977809,9065.9210447116,9900.678866615
2020-05-09,BTC,9903.8307542943,10062.7159146252,9732.8065476399,9917.2484143422
2020-05-10,BTC,9917.2531744633,9957.1109283117,9546.0409925606,9617.5181949278
2020-05-11,BTC,9616.3770636512,9650.0186029482,8166.4921878884,8786.655181651
2020-05-12,BTC,8733.6379434978,9176.1863902424,8206.3315046888,8608.125245038
2020-05-13,BTC,8608.1199369808,8980.6245047804,8509.5642150125,8815.2312449023
2020-05-14,BTC,8823.7808313463,9416.5901827296,8802.9165603225,9330.986484701
2020-05-15,BTC,9330.9852680521,9940.9560817515,9273.4165870495,9757.2965855933
2020-05-16,BTC,9795.2825564091,9848.1853608679,9155.515350643,9362.6355569661
2020-05-16,BTC,9315.96000000,9588.00000000,9220.00000000,9381.27000000
2020-05-17,BTC,9362.6366461472,9583.062439468,9219.3622046505,9418.9185505051
2020-05-17,BTC,9380.81000000,9888.00000000,9322.10000000,9680.04000000
2020-05-18,BTC,9681.11000000,9950.00000000,9464.23000000,9733.93000000
2020-05-18,BTC,9418.913715302,9879.7120397774,9327.7638326824,9684.7019593528
2020-05-19,BTC,9733.93000000,9897.21000000,9474.00000000,9775.53000000
2020-05-19,BTC,9673.8366316087,9933.9762248941,9523.8489924753,9723.6801504531
2020-05-20,BTC,9775.13000000,9842.00000000,9326.00000000,9511.43000000
2020-05-20,BTC,9723.3169934073,9899.77599404,9473.7422660036,9719.4808544776
2020-05-21,BTC,9511.43000000,9578.47000000,8815.00000000,9068.65000000
2020-05-21,BTC,9719.2544893493,9834.55781877,9332.915195977,9540.8865665842
2020-05-22,BTC,9067.51000000,9271.00000000,8933.52000000,9170.00000000
2020-05-22,BTC,9540.2089222634,9571.081814946,8806.7428387451,9141.150637421
2020-05-23,BTC,9170.00000000,9307.85000000,9070.00000000,9179.15000000
2020-05-23,BTC,9139.8904009519,9265.2515997115,8934.3807281482,9192.8451358053
2020-05-24,BTC,9179.01000000,9298.00000000,8700.00000000,8720.34000000
2020-05-24,BTC,9192.8452548062,9311.8493382119,9093.8343146841,9220.0758874664
2020-05-25,BTC,9219.7460361167,9301.1793115488,8856.4708625726,9048.7151191611
2020-05-25,BTC,8718.14000000,8979.66000000,8642.72000000,8900.35000000
2020-05-26,BTC,8900.35000000,9017.67000000,8700.00000000,8841.18000000
2020-05-26,BTC,9048.6923718826,9051.6929603465,8645.2125479474,8905.7816045384
2020-05-27,BTC,8905.7469216755,9010.8974427745,8707.1240715533,8835.7272240409
2020-05-27,BTC,8841.00000000,9225.00000000,8811.73000000,9204.07000000
2020-05-28,BTC,9204.07000000,9625.47000000,9110.00000000,9575.89000000
2020-05-28,BTC,8835.7272237508,9224.7449647518,8820.5491927792,9112.9791755927
2020-05-29,BTC,9575.87000000,9605.26000000,9330.00000000,9427.07000000
2020-05-29,BTC,9113.1778359026,9523.4574741366,9008.0584497886,9507.5246646633
2020-05-30,BTC,9426.60000000,9740.00000000,9331.23000000,9697.72000000
2020-05-30,BTC,9507.5637917984,9621.6132306645,9335.814885905,9425.2818691896
2020-05-31,BTC,9697.72000000,9700.00000000,9381.41000000,9448.27000000
2020-05-31,BTC,9434.033791627,9732.9439791453,9334.9128323857,9688.324390372
2020-06-01,BTC,9688.5399317488,9698.1408541243,9394.2753873132,9427.6700841394
2020-06-01,BTC,9448.27000000,10380.00000000,9421.67000000,10200.77000000
2020-06-02,BTC,9427.2325353578,10357.7891656244,9417.354211719,10268.5819847333
2020-06-02,BTC,10202.71000000,10228.99000000,9266.00000000,9518.04000000
2020-06-03,BTC,10268.231876664,10292.7030968576,9298.9209500344,9516.1354430882
2020-06-03,BTC,9518.02000000,9690.00000000,9365.21000000,9666.24000000
2020-06-04,BTC,9516.3798280647,9680.2064436579,9406.9711871222,9667.0607542595
2020-06-04,BTC,9666.32000000,9881.63000000,9450.00000000,9789.06000000
2020-06-05,BTC,9788.14000000,9854.75000000,9581.00000000,9621.16000000
2020-06-05,BTC,9667.0854019559,9875.6621271187,9472.2510484788,9811.367094602
2020-06-06,BTC,9621.17000000,9735.00000000,9531.05000000,9666.30000000
2020-06-06,BTC,9811.8293775976,9860.2314469319,9619.6174589658,9659.6612981892
2020-06-07,BTC,9666.85000000,9802.00000000,9372.46000000,9746.99000000
2020-06-07,BTC,9659.0531176385,9736.2711280708,9542.7733979468,9677.0509945125
2020-06-08,BTC,9746.99000000,9800.00000000,9633.00000000,9782.01000000
2020-06-08,BTC,9677.050683736,9804.4464866884,9392.8429259367,9737.458558786
